name,schluessel,gemeinde,gmdschl,bbox
Lohne,51751,Bad Sassendorf,5974008,"(442828.98, 5712578.27, 446124.19, 5718126.91)"
Walheim,54182,Aachen,5334002,"(297054.39, 5616087.41, 303547.2, 5624634.24)"
Agger,54201,Reichshof,5374040,"(400965.26, 5646394.73, 407539.29, 5651129.31)"
Bergneustadt,54202,Bergneustadt,5374004,"(402981.53, 5650285.78, 407605.95, 5655615.17)"
Denklingen,54203,Reichshof,5374040,"(402335.41, 5639621.26, 408520.35, 5644032.27)"
Drabenderhöhe,54204,Wiehl,5374048,"(389418.82, 5643311.69, 394675.59, 5646958.45)"
Eckenhagen,54205,Reichshof,5374040,"(406209.8, 5646963.1, 411786.3, 5651872.88)"
Gimborn,54206,Gummersbach,5374012,"(390268.17, 5651678.16, 396755.02, 5656800.72)"
Gummersbach,54207,Gummersbach,5374012,"(394756.5, 5648743.79, 404454.82, 5657209.38)"
Müllingsen,51752,Soest,5974040,"(438954.64, 5708493.71, 441761.91, 5712212.32)"
Neuengeseke,51753,Bad Sassendorf,5974008,"(443090.3, 5709246.62, 446739.02, 5712997.67)"
Marienberghausen,54214,Nümbrecht,5374032,"(391696.0, 5634359.31, 398990.09, 5644337.73)"
Marienheide,54215,Marienheide,5374024,"(391523.92, 5655954.66, 403195.9, 5662693.04)"
Morsbach,54216,Morsbach,5374028,"(406091.82, 5632877.48, 412888.45, 5638949.46)"
Nümbrecht,54217,Nümbrecht,5374032,"(394251.77, 5636373.7, 403081.45, 5644165.68)"
Ründeroth,54218,Engelskirchen,5374008,"(388919.0, 5646400.24, 395835.05, 5653770.91)"
Schnörringen,54219,Waldbröl,5374044,"(399503.61, 5630742.19, 406367.05, 5637920.8)"
Sinspert,54220,Reichshof,5374040,"(404639.59, 5642922.66, 412017.09, 5648800.48)"
Waldbröl,54221,Waldbröl,5374044,"(395229.61, 5631936.07, 404824.09, 5639448.57)"
Weiershagen,54222,Wiehl,5374048,"(391888.83, 5643089.31, 397820.87, 5649155.37)"
Wiedenest,54223,Bergneustadt,5374004,"(405644.44, 5651224.21, 411319.58, 5657749.4)"
Wiehl,54224,Wiehl,5374048,"(396215.98, 5643066.37, 402835.01, 5650081.9)"
Wildberg-Erdingen,54225,Reichshof,5374040,"(407589.27, 5640402.29, 415132.81, 5645730.65)"
Strombach,54226,Gummersbach,5374012,"(395357.87, 5650125.9, 398546.16, 5656797.28)"
Dieringhausen,54227,Gummersbach,5374012,"(394208.43, 5647876.27, 400610.08, 5651227.98)"
Breidenbach,54228,Lindlar,5374020,"(379287.4, 5652155.94, 385475.57, 5657167.16)"
Breun,54229,Lindlar,5374020,"(384878.13, 5652128.22, 392181.22, 5659840.68)"
Klüppelberg,54230,Wipperfürth,5374052,"(382436.81, 5656323.66, 395374.06, 5669288.99)"
Lindlar,54231,Lindlar,5374020,"(381241.51, 5649816.48, 388848.48, 5655414.34)"
Oberengelskirchen,54232,Engelskirchen,5374008,"(386535.71, 5645052.57, 391537.37, 5652446.01)"
Opmünden,51754,Bad Sassendorf,5974008,"(440920.06, 5711505.96, 443342.86, 5714481.8)"
Eschweiler,54254,Eschweiler,5334012,"(302057.97, 5628758.58, 311618.1, 5635053.96)"
Gressenich,54255,Stolberg (Rhld.),5334032,"(306350.7, 5620699.57, 314202.95, 5629695.7)"
Herzogenrath,54256,Herzogenrath,5334016,"(294037.49, 5636440.55, 297880.18, 5640439.56)"
Ruploh,51755,Soest,5974040,"(437010.62, 5708555.64, 438454.45, 5711297.21)"
Bettendorf,54270,Alsdorf,5334004,"(302257.46, 5640206.15, 304161.76, 5641765.02)"
Sassendorf,51756,Bad Sassendorf,5974008,"(440217.94, 5713312.11, 443510.42, 5717973.75)"
Bettinghausen,51757,Bad Sassendorf,5974008,"(442813.5, 5717048.18, 445806.85, 5720536.28)"
Eickelborn,51758,Lippstadt,5974028,"(443466.1, 5721125.31, 447026.52, 5723859.6)"
Heintrop,51759,Lippetal,5974024,"(431052.83, 5721218.41, 434131.03, 5724793.4)"
Hovestadt,51760,Lippetal,5974024,"(438996.23, 5722402.16, 441752.92, 5723893.32)"
Kalkar,54426,Bad Münstereifel,5366004,"(341356.26, 5606626.13, 342925.06, 5608157.09)"
Kirchheim,54428,Euskirchen,5366016,"(345082.09, 5603373.89, 348742.46, 5609643.52)"
Hultrop,51761,Lippetal,5974024,"(433320.96, 5720822.3, 436042.61, 5723320.54)"
Lohe,51763,Lippstadt,5974028,"(445254.08, 5719645.26, 447306.95, 5722073.56)"
Großenbach,51838,Bad Laasphe,5970028,"(447310.37, 5639654.49, 449352.7, 5641714.29)"
Niederbauer,51764,Lippetal,5974024,"(435572.43, 5721591.64, 439168.54, 5723999.58)"
Ermsinghausen,51919,Geseke,5974020,"(459543.71, 5720536.37, 460381.04, 5722876.49)"
Schalksmühle,51920,Schalksmühle,5962056,"(394842.58, 5675328.8, 399915.72, 5680347.1)"
Nuttlar,51921,Bestwig,5958008,"(457003.81, 5690386.01, 461632.34, 5695405.44)"
Oestinghausen,51765,Lippetal,5974024,"(435819.81, 5720412.36, 438990.43, 5722922.45)"
